_Year,Month,Calls,Emails,Footfall,Notes_,OBJECTID
2021,Januar,14804,1892,0,Nil Covid Lockdown,0
2021,February,14186,1010,0,Office reopen 7th Feb 2021,1
2021,March,16162,1227,0,Nil Covid Lockdown,2
2021,April,15232,975,0,Nil Covid Lockdown,3
2021,May,"16,669","1,054",0,Nil Covid Lockdown,4
2021,June,15719,933,0,Nil Covid Lockdown,5
2021,July,"15,383",987,0,Nil Covid Lockdown,6
2021,August,"15,438",737,0,Nil Covid Lockdown,7
2021,September,"15,931",995,1124,6th Spetember 2021 offices reopen,8
2021,October,"14,750",796,"1,331",,9
2021,November,"15,297",817,1539,,10
2021,December,"9,689",1471,1507,1st December Appointment only under covid rules,11
2021,Total Stast 2021,"179,260",12894,5501,,12
2022,January,14804,1471,1507,,13
2022,February,"14,804",1892,0,,14
2022,March,15065,826,2361,,15
2022,April,"15,261",513,2201,,16
2022,May,"13,583",545,"1,940",,17
2022,June,"13,209",562,2077,,18
2022,July,"11,417",584,"1,553",,19
2022,August,"10,482",570,"1,758",,20
2022,September,"14,664",442,"2,143",,21
2022,October,"16,775",523,"2,953",,22
2022,November,"16,581",611,"2,698",,23
2022,December,"9,689","1,471","1,507",,24
2022,Total  Stats for 2022,"177,954","11,461","22,698",,25
2023,January,"17,259.00",388,"2,220.00",,26
2023,February,"13,667.00",830,"2,394.00",,27
2023,March,"15,065.00",871,"2,432.00",,28
2023,April,"13,375.00",424,"2,121.00",,29
2023,May,"16,248.00",566,"2,762.00",,30
2023,June,"12,442.00",386,"2,247.00",,31
2023,July,"15,303.00",378,"2,244.00",,32
2023,August,"16,708.00",551,"2,561.00",,33
2023,September,"15,509.00",729,"2,617.00",,34
2023,October,"16,515.00",545,"2,324.00",,35
2023,November,"16,370.00",380,"1,698.00",,36
2023,December,"10,769.00",162,"1,742.00",,37
2023,Totals Stats for 2023,"179,230.00","6,210.00","27,362.00",,38
2024,January,,,,,39
2024,February,,,,,40
2024,March,,,,,41
2024,April,,,,,42
2024,May,,,,,43
2024,June,,,,,44
2024,July,,,,,45
2024,August,,,,,46
2024,September,,,,,47
2024,October,,,,,48
2024,November,,,,,49
2024,December,,,,,50
2024,Total Stats for 2024,,,,,51
2025,January,,,,,52
2025,February,,,,,53
2025,March,,,,,54
2025,April,,,,,55
2025,May,,,,,56
2025,June,,,,,57
2025,July,,,,,58
2025,August,,,,,59
2025,September,,,,,60
2025,October,,,,,61
2025,November,,,,,62
2025,December,,,,,63
2025,Total 2025,,,,,64
